"filename", "language", "JavaScript", "YAML", "Markdown", "JSON", "HTML", "TypeScript", "JSON with Comments", "Properties", "Docker", "TypeScript JSX", "PostCSS", "MS SQL", "WebAssembly Text Format", "comment", "blank", "total"
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\documentation\DEPLOYMENT.md", "Markdown", 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 215
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\documentation\GETTING_STARTED.md", "Markdown", 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 194
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\documentation\PROJECT_OVERVIEW.md", "Markdown", 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 187
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\documentation\README.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\documentation\backend_documentation.md", "Markdown", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 85
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\documentation\frontend_documentation.md", "Markdown", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 83
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 6, 10, 31
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\README.md", "Markdown", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 73
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\components.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\eslint.config.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\index.html", "HTML", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\nginx.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 3, 6, 32
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\package-lock.json", "JSON", 0, 0, 0, 11573, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11574
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\package.json", "JSON", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 97
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\playwright-fixture.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 4
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\playwright-report\index.html", "HTML", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 90
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\playwright.config.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\public\model\NEW-meatlens_best_model_metadata.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\public\model\model2\meatlens_final_8samples_cnn_only_mobilenetv3small_seed123_metadata.json", "JSON", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\public\models\mobilenetv3_meat\NEW-meatlens_best_model_metadata.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\public\models\mobilenetv3_meat\meatlens_mobilenetv3small_cross_rotation_fold1_seed42_cnn_only_metadata (1).json", "JSON", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\public\ort\ort-wasm-simd-threaded.asyncify.mjs", "JavaScript", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 113
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\public\ort\ort-wasm-simd-threaded.asyncify.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 525717, 5041, 12647, 543405
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\public\ort\ort-wasm-simd-threaded.jsep.mjs", "JavaScript", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 107
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\public\ort\ort-wasm-simd-threaded.jsep.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 593867, 0, 13990, 607857
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\public\ort\ort-wasm-simd-threaded.jspi.mjs", "JavaScript", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 108
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\public\ort\ort-wasm-simd-threaded.jspi.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 273843, 7882, 5847, 287572
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\public\ort\ort-wasm-simd-threaded.mjs", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\public\ort\ort-wasm-simd-threaded.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 260594, 0, 4632, 265226
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 6, 43
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 6, 15, 134
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\src\components\AIChatbot.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 3, 16, 184
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\src\components\AnalysisResultCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 7, 126
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\src\components\BottomNav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 4, 63
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\src\components\CameraCapture.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 950, 0, 0, 0, 21, 110, 1081
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\src\components\ConfirmDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 3, 53
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\frontend\src\components\DeveloperOptionsPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 388, 0, 0, 0, 0, 29, 417
